NOMBRE,TIPO,AÑO,MES,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES,MES_NUM,FECHA
Reynosa,PÚENTE INTERNACIONAL,2024,NOVIEMBRE,114738.0,504.0,89.0,960.0,,65.0,4.0,7.0,,1.0, -   , -   , -   , -   ,116368.0,505, -   ,"197,448",11,2024-11-01
   Línea Express,PÚENTE INTERNACIONAL,2024,NOVIEMBRE,85019.0,,,,,,,,,, -   , -   , -   , -   ,85019.0, -   , -   , -   ,11,2024-11-01
Piedras Negras,PÚENTE INTERNACIONAL,2024,NOVIEMBRE,88609.0,81.0,,,,179.0,,1.0,,, -   , -   , -   , -   ,88870.0,113, -   ,"64,737",11,2024-11-01
Ojinaga,PÚENTE INTERNACIONAL,2024,NOVIEMBRE,58409.0,40.0,19.0,127.0,1.0,633.0,134.0,131.0,719.0,14.0,1,22,36, -   ,60286.0,"1,071",22,"2,977",11,2024-11-01
Rodolfo Robles,PÚENTE INTERNACIONAL,2024,NOVIEMBRE,5330.0,52633.0,53.0,30.0,,9.0,,,,, -   , -   , -   ,"8,511",66566.0, -   , -   ,"37,810",11,2024-11-01
Acuña,PÚENTE INTERNACIONAL,2024,NOVIEMBRE,135388.0,371.0,,,,1364.0,857.0,149.0,3987.0,39.0,22, -   , -   , -   ,142177.0,"1,026", -   ,"9,336",11,2024-11-01
Laredo,PÚENTE INTERNACIONAL,2024,NOVIEMBRE,,,,,,,,,,, -   , -   , -   , -   ,, -   , -   ,"257,290",11,2024-11-01
   Línea Express,PÚENTE INTERNACIONAL,2024,NOVIEMBRE,129670.0,,,,,,,,,, -   , -   , -   , -   ,129670.0, -   , -   , -   ,11,2024-11-01
Juárez-Lincoln,PÚENTE INTERNACIONAL,2024,NOVIEMBRE,235637.0,1277.0,11.0,2610.0,,312.0,10.0,80.0,11.0,, -   , -   , -   , -   ,239948.0,"1,832", -   , -   ,11,2024-11-01
Dovalí Jaime,PUENTE NACIONAL,2024,NOVIEMBRE,166169.0,6899.0,5258.0,2231.0,29.0,22501.0,25753.0,4633.0,93230.0,14450.0,"1,475",492,"41,238", -   ,384358.0,"1,902",30, -   ,11,2024-11-01
Las Flores,PÚENTE INTERNACIONAL,2024,NOVIEMBRE,49938.0,62.0,,,,103.0,42.0,25.0,951.0,438.0,35,18,"1,824", -   ,53436.0,141,174,"104,605",11,2024-11-01
Suchiate II,PÚENTE INTERNACIONAL,2024,NOVIEMBRE,1179.0,,196.0,4.0,,969.0,871.0,69.0,10191.0,1620.0,23,1,31, -   ,15154.0,41, -   , -   ,11,2024-11-01
Tlacotalpan,PUENTE NACIONAL,2024,NOVIEMBRE,47646.0,6160.0,1877.0,58.0,,1551.0,559.0,40.0,353.0,66.0,2, -   ,82, -   ,58394.0,716, -   , -   ,11,2024-11-01
San Juan,PUENTE NACIONAL,2024,NOVIEMBRE,46442.0,549.0,716.0,241.0,,2711.0,1535.0,253.0,3811.0,582.0,61,175,"8,476", -   ,65552.0,951,"1,131", -   ,11,2024-11-01
Tampico,PUENTE NACIONAL,2024,NOVIEMBRE,224364.0,3967.0,7740.0,2594.0,,6220.0,3339.0,278.0,3339.0,346.0,55,19,"1,833", -   ,254094.0,"1,347",2, -   ,11,2024-11-01
Chapalilla - Compostela ,CAMINO,2024,NOVIEMBRE,77589.0,2694.0,2949.0,408.0,21.0,3575.0,2252.0,202.0,1460.0,651.0,17,1,46, -   ,91865.0,540,1, -   ,11,2024-11-01
Cuauhtemoc-Osiris ,CAMINO,2024,NOVIEMBRE,120003.0,605.0,5544.0,7391.0,,14554.0,11464.0,5401.0,65800.0,12550.0,"3,105",213,"25,657", -   ,272287.0,"2,191", -   , -   ,11,2024-11-01
Culiacán,PUENTE NACIONAL,2024,NOVIEMBRE,166155.0,2073.0,5158.0,509.0,16.0,6445.0,3091.0,314.0,3954.0,506.0, -   ,2,624, -   ,188847.0,"1,613",1, -   ,11,2024-11-01
Pánuco,PUENTE NACIONAL,2024,NOVIEMBRE,133975.0,10262.0,8498.0,97.0,30.0,4617.0,2679.0,162.0,2378.0,2176.0,10,2,"1,440", -   ,166326.0,914,57, -   ,11,2024-11-01
Alvarado,PUENTE NACIONAL,2024,NOVIEMBRE,123517.0,12909.0,7613.0,368.0,,5240.0,4282.0,211.0,2560.0,904.0,11,5,280, -   ,157900.0,921, -   , -   ,11,2024-11-01
Papaloapan,PUENTE NACIONAL,2024,NOVIEMBRE,79867.0,17747.0,2813.0,209.0,7.0,4538.0,3165.0,183.0,2409.0,400.0,33,6,"1,039", -   ,112416.0,"1,162",109, -   ,11,2024-11-01
Sinaloa,PUENTE NACIONAL,2024,NOVIEMBRE,201200.0,2166.0,10301.0,4798.0,22.0,15728.0,12290.0,3575.0,65070.0,6447.0,"1,216",82,"16,977", -   ,339872.0,"3,207",1, -   ,11,2024-11-01
Nautla,PUENTE NACIONAL,2024,NOVIEMBRE,63262.0,5648.0,2596.0,98.0,1.0,4290.0,2398.0,271.0,4949.0,797.0,21,9,838, -   ,85178.0,"1,108",2, -   ,11,2024-11-01
